# 各周期危险性曲线
周期(s), 谱加速度(cm/s^2), 年超越概率
0.020, 9.022621e+00, 3.529412e-05
0.020, 8.731092e+00, 4.705882e-05
0.020, 6.609314e+00, 5.882353e-05
0.020, 6.430191e+00, 7.058824e-05
0.020, 4.406687e+00, 8.235294e-05
0.020, 4.268202e+00, 9.411765e-05
0.020, 3.676289e+00, 1.058824e-04
0.020, 3.291057e+00, 1.176471e-04
0.020, 2.788234e+00, 1.294118e-04
0.020, 2.762248e+00, 1.411765e-04
0.020, 2.761807e+00, 1.529412e-04
0.020, 2.731010e+00, 1.647059e-04
0.020, 2.681045e+00, 1.764706e-04
0.020, 1.341823e+00, 1.882353e-04
0.020, 1.322565e+00, 2.000000e-04
0.020, 1.317069e+00, 2.117647e-04
0.020, 1.302138e+00, 2.235294e-04
0.020, 1.273127e+00, 2.352941e-04
0.020, 1.267976e+00, 2.470588e-04
0.020, 1.258408e+00, 2.588235e-04
0.020, 1.184245e+00, 2.705882e-04
0.020, 1.165945e+00, 2.823529e-04
0.020, 1.153938e+00, 2.941176e-04
0.020, 1.059361e+00, 3.058824e-04
0.020, 1.056791e+00, 3.176471e-04
0.020, 1.048331e+00, 3.294118e-04
0.020, 9.934793e-01, 3.411765e-04
0.020, 9.867301e-01, 3.529412e-04
0.020, 9.734888e-01, 3.647059e-04
0.020, 9.151135e-01, 3.764706e-04
0.020, 8.836397e-01, 3.882353e-04
0.020, 8.778814e-01, 4.000000e-04
0.020, 8.592172e-01, 4.117647e-04
0.020, 8.365727e-01, 4.235294e-04
0.020, 8.155266e-01, 4.352941e-04
0.020, 8.021798e-01, 4.470588e-04
0.020, 8.002965e-01, 4.588235e-04
0.020, 7.812084e-01, 4.705882e-04
0.020, 7.778294e-01, 4.823529e-04
0.020, 7.712593e-01, 4.941176e-04
0.020, 7.649059e-01, 5.058824e-04
0.020, 7.204623e-01, 5.176471e-04
0.020, 6.977299e-01, 5.294118e-04
0.020, 6.896588e-01, 5.411765e-04
0.020, 6.894021e-01, 5.529412e-04
0.020, 6.283182e-01, 5.647059e-04
0.020, 6.162420e-01, 5.764706e-04
0.020, 5.911333e-01, 5.882353e-04
0.020, 5.593261e-01, 6.000000e-04
0.020, 5.431671e-01, 6.117647e-04
0.020, 5.360106e-01, 6.235294e-04
0.020, 5.298282e-01, 6.352941e-04
0.020, 5.243176e-01, 6.470588e-04
0.020, 5.169964e-01, 6.588235e-04
0.020, 5.061457e-01, 6.705882e-04
0.020, 5.052475e-01, 6.823529e-04
0.020, 5.031367e-01, 6.941176e-04
0.020, 4.912468e-01, 7.058824e-04
0.020, 4.886740e-01, 7.176471e-04
0.020, 4.829449e-01, 7.294118e-04
0.020, 4.762711e-01, 7.411765e-04
0.020, 4.710033e-01, 7.529412e-04
0.020, 4.601130e-01, 7.647059e-04
0.020, 4.543393e-01, 7.764706e-04
0.020, 4.465767e-01, 7.882353e-04
0.020, 4.324122e-01, 8.000000e-04
0.020, 4.315385e-01, 8.117647e-04
0.020, 4.311692e-01, 8.235294e-04
0.020, 4.306083e-01, 8.352941e-04
0.020, 4.294248e-01, 8.470588e-04
0.020, 4.278625e-01, 8.588235e-04
0.020, 4.249749e-01, 8.705882e-04
0.020, 4.194846e-01, 8.823529e-04
0.020, 4.177170e-01, 8.941176e-04
0.020, 4.176923e-01, 9.058824e-04
0.020, 4.123455e-01, 9.176471e-04
0.020, 4.093181e-01, 9.294118e-04
0.020, 4.087958e-01, 9.411765e-04
0.020, 4.038140e-01, 9.529412e-04
0.020, 4.004035e-01, 9.647059e-04
0.020, 3.961206e-01, 9.764706e-04
0.020, 3.898977e-01, 9.882353e-04
0.020, 3.882045e-01, 1.000000e-03
