# 地震模拟系统 - 地震动加速度谱数据
# 模拟参数
# 总模拟次数: 5
# 时间跨度: 500.0 年
# 区域范围: 经度 [-90.5, -89.5], 纬度 [35.0, 35.5]

事件 1
震级(M), 时间(年), 经度(deg), 纬度(deg), 深度(km), 距离(km)
4.66, 46.11, -89.6236, 35.3604, 14.93, 36.29

频率(Hz), 加速度谱(cm/s^2)
8.5, 1.487513e+01
8.6, 1.271578e+01
8.7, 6.071781e+00
8.8, 6.786228e+00
8.9, 1.160810e+01
9.0, 7.554006e+00
9.1, 9.930093e+00
9.2, 1.023991e+01
9.3, 1.224366e+01
9.4, 1.008902e+01
9.5, 4.956561e+00
9.6, 5.529357e+00
9.7, 8.422756e+00
9.8, 4.079359e+00
9.9, 1.033027e+01
10.0, 4.510148e+00

事件 5
震级(M), 时间(年), 经度(deg), 纬度(deg), 深度(km), 距离(km)
4.65, 89.69, -89.5855, 35.3205, 14.26, 38.43

频率(Hz), 加速度谱(cm/s^2)
0.1, 1.740226e+01
0.2, 2.437349e+01
0.3, 1.169839e+01
0.4, 1.678789e+01
0.5, 1.623737e+01
0.6, 1.835552e+01
0.7, 3.225137e+01
0.8, 9.343885e+00
0.9, 1.300214e+01
1.0, 1.522593e+01
1.1, 9.295095e+00
1.2, 1.462879e+01
1.3, 5.553910e+00
1.4, 1.190654e+01
1.5, 3.132292e+01
1.6, 1.277976e+01
1.7, 2.151032e+01
1.8, 2.210750e+01
1.9, 9.624943e+00
2.0, 1.095257e+01
2.1, 9.581451e+00
2.2, 6.707074e+00
2.3, 2.370493e+01
2.4, 9.964275e+00
2.5, 1.383011e+01
2.6, 1.193227e+01
2.7, 1.147849e+01
2.8, 1.278933e+01
2.9, 2.167775e+01
3.0, 1.441676e+01
3.1, 6.234406e+00
3.2, 1.054056e+01
3.3, 7.030410e+00
3.4, 1.046654e+01
3.5, 9.852223e+00
3.6, 8.715631e+00
3.7, 5.876406e+00
3.8, 8.760515e+00
3.9, 9.240653e+00
4.0, 1.358166e+01
4.1, 7.293422e+00
4.2, 9.238664e+00
4.3, 1.109121e+01
4.4, 5.769548e+00
4.5, 5.834994e+00
4.6, 1.279589e+01
4.7, 1.197236e+01
4.8, 5.164394e+00
4.9, 1.513461e+01
5.0, 1.088182e+01
5.1, 7.589604e+00
5.2, 3.829807e+00
5.3, 9.552622e+00
5.4, 8.547106e+00
5.5, 5.308664e+00
5.6, 9.349066e+00
5.7, 5.928538e+00
5.8, 6.149094e+00
5.9, 7.290821e+00
6.0, 3.864562e+00
6.1, 1.163870e+01
6.2, 1.114095e+01
6.3, 6.673517e+00
6.4, 5.635016e+00
6.5, 1.113669e+01
6.6, 5.991564e+00
6.7, 7.774203e+00
6.8, 3.601957e+00
6.9, 7.374401e+00
7.0, 7.863751e+00
7.1, 6.893146e+00
7.2, 4.692850e+00
7.3, 1.062816e+01
7.4, 3.981308e+00
7.5, 1.258327e+01
7.6, 6.956202e+00
7.7, 5.894873e+00
7.8, 6.859279e+00
7.9, 5.187418e+00
8.0, 3.479873e+00
8.1, 8.453657e+00
8.2, 6.939930e+00
8.3, 4.134546e+00
8.4, 7.923152e+00
8.5, 3.839504e+00
8.6, 4.601677e+00
8.7, 5.282360e+00
8.8, 6.324173e+00
8.9, 2.923845e+00
9.0, 3.844007e+00
9.1, 5.396491e+00
9.2, 8.016984e+00
9.3, 1.063170e+01
9.4, 6.063815e+00
9.5, 4.892660e+00
9.6, 7.476060e+00
9.7, 3.969603e+00
9.8, 5.412306e+00
9.9, 9.396636e+00
10.0, 3.255427e+00

事件 6
震级(M), 时间(年), 经度(deg), 纬度(deg), 深度(km), 距离(km)
4.96, 91.12, -90.0411, 35.0558, 7.95, 21.92

频率(Hz), 加速度谱(cm/s^2)
0.1, 2.203937e+01
0.2, 3.003772e+01
0.3, 3.454141e+01
0.4, 2.644635e+01
0.5, 2.870198e+01
0.6, 4.576046e+01
0.7, 3.078989e+01
0.8, 2.424629e+01
0.9, 4.225927e+01
1.0, 3.617566e+01
1.1, 1.429152e+01
1.2, 2.963480e+01
1.3, 3.867413e+01
1.4, 5.140899e+01
1.5, 6.784525e+01
1.6, 2.550231e+01
1.7, 3.969323e+01
1.8, 3.233243e+01
1.9, 2.360928e+01
2.0, 5.684862e+01
2.1, 2.076749e+01
2.2, 4.068089e+01
2.3, 3.347162e+01
2.4, 2.561836e+01
2.5, 1.823060e+01
2.6, 2.155182e+01
2.7, 1.763370e+01
2.8, 1.756227e+01
2.9, 1.600351e+01
3.0, 1.811719e+01
3.1, 2.393585e+01
3.2, 1.753155e+01
3.3, 3.887995e+01
3.4, 1.493185e+01
3.5, 2.193499e+01
3.6, 2.262825e+01
3.7, 1.669740e+01
3.8, 2.464784e+01
3.9, 1.346707e+01
4.0, 3.856955e+01
4.1, 4.106029e+01
4.2, 1.010855e+01
4.3, 3.556046e+01
4.4, 1.966365e+01
4.5, 2.812514e+01
4.6, 1.129736e+01
4.7, 2.783845e+01
4.8, 2.508825e+01
4.9, 1.903006e+01
5.0, 2.888699e+01
5.1, 6.364716e+01
5.2, 2.922512e+01
5.3, 1.677846e+01
5.4, 1.456142e+01
5.5, 3.619435e+01
5.6, 1.125131e+01
5.7, 8.995888e+00
5.8, 1.524559e+01
5.9, 7.651038e+00
6.0, 3.499994e+01
6.1, 1.852653e+01
6.2, 1.718239e+01
6.3, 2.542239e+01
6.4, 2.656404e+01
6.5, 2.400750e+01
6.6, 1.889958e+01
6.7, 5.725817e+00
6.8, 2.198639e+01
6.9, 1.479285e+01
7.0, 1.942061e+01
7.1, 1.057934e+01
7.2, 2.689062e+01
7.3, 1.126432e+01
7.4, 7.294951e+00
7.5, 1.175501e+01
7.6, 1.771655e+01
7.7, 1.665497e+01
7.8, 1.462030e+01
7.9, 1.412428e+01
8.0, 7.507446e+00
8.1, 1.428437e+01
8.2, 1.505430e+01
8.3, 8.181127e+00
8.4, 1.314176e+01
8.5, 4.347225e+00
8.6, 9.338485e+00
8.7, 1.273167e+01
8.8, 1.601084e+01
8.9, 1.114563e+01
9.0, 1.372942e+01
9.1, 1.549268e+01
9.2, 1.824313e+01
9.3, 1.441412e+01
9.4, 6.189460e+00
9.5, 2.209802e+01
9.6, 1.265612e+01
9.7, 9.521597e+00
9.8, 1.192222e+01
9.9, 1.013891e+01
10.0, 1.451950e+01

事件 7
震级(M), 时间(年), 经度(deg), 纬度(deg), 深度(km), 距离(km)
4.71, 121.65, -90.2351, 35.2174, 10.24, 21.66

